Member,Cycle,Reporting Date/Period,Response Status,Street Address:,City:,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation? ",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency’s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",February,02/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",March,03/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",April,04/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",May,05/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,Bagley City Recycling,,Actual weight,3,Babley City Recycling,,Actual weight,8,,,,,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actual weight,100,,,,,,,,,,,,,,,,,Weight converted from volume,126,,Weight converted from volume,1000,,1226,,11,0.78,46.91,527.4,527.4,527.4,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",June,06/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,Bagley City Recycling,,,,Babley City Recycling,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",July,07/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,Bagley City Recycling,,Actual weight,4,Babley City Recycling,,,,,,,,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actual weight,15,,,,,,,,,,,,,,,,,Weight converted from volume,224,,,,,239,,4,0.28,14.79,328.6,328.6,328.6,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",August,08/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,Bagley City Recycling,,Actual weight,2,Babley City Recycling,,Actual weight,3,,,,,1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight converted from volume,154,,,,,154,,5,0.36,10.2,311.8,311.8,311.8,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",September,09/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,Bagley City Recycling,,,,Babley City Recycling,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",January,01/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,Weight converted from volume,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,3.65,242.17,242.17,242.17,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",February,02/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",March,03/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",April,04/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",May,05/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",June,06/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",July,07/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",August,08/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33,233.33,233.33,Yes,,,Yes,,,
"R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623",September,09/01/2019,completed,504 Main St,Baudette,56623,,,Baudette TS,,,,6,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Walleye Capital (City),MarKit Landfill,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,Vendor,Weight converted from volume,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,2.78,240,240,240,Yes,,,Yes,,,
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",January,01/01/2019,completed,3920 US Hwy 2,Bemidji,56601,,Department of Transportation,D2 BEMIDJI HQS,,,OFFICE/TRUCK STATION,130,No,0,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,,,,,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,14,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,2220,,,,,10634,,,,,,,,,,,,,Vendor,Weight converted from volume,353,,,,,,,Green Lights,Actual weight,1241,,,,Lyle's Salvage,Actual weight,14520,,,,,,,,,,,,,,,,,,,,,,,16114,,2234,21.01,68.6,205.75,205.75,205.75,Yes,,,,,,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies "
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",February,02/01/2019,completed,3920 US Hwy 2,Bemidji,56601,,Department of Transportation,D2 BEMIDJI HQS,,,OFFICE/TRUCK STATION,130,No,0,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,,,,,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,8,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,2580,,,,,10988,,,,,,,,,,,,,Vendor,Weight converted from volume,159,,,,,,,Green Lights,,,,,,Lyle's Salvage,,,,,,,,,,,,,,,,,,,,,,,,,159,,2588,23.55,24.64,85.75,85.75,85.75,Yes,,,,,,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies "
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",March,03/01/2019,completed,3920 US Hwy 2,Bemidji,56601,,Department of Transportation,D2 BEMIDJI HQS,,,OFFICE/TRUCK STATION,130,No,0,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,,,,,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,12,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,2400,,,,,10812,,,,,,,,,,,,,Vendor,,,,,,,,,Green Lights,,,,,,Lyle's Salvage,,,,,,,,,,,,,,,,,,,,,,,,,,,2412,22.31,22.31,83.17,83.17,83.17,Yes,,,,,,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies "
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",April,04/01/2019,completed,3920 US Hwy 2,Bemidji,56601,,Department of Transportation,D2 BEMIDJI HQS,,,OFFICE/TRUCK STATION,130,No,0,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,,,,,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,11,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,2220,,,,,10631,,,,,,,,,,,,,Vendor,Weight converted from volume,80,,,,,,,Green Lights,,,,,,Lyle's Salvage,,,,,,,,,,,,,,,,,,,,,,,,,80,,2231,20.99,21.58,82.39,82.39,82.39,Yes,,,,,,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies "
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",May,05/01/2019,completed,3920 US Hwy 2,Bemidji,56601,,Department of Transportation,D2 BEMIDJI HQS,,,OFFICE/TRUCK STATION,130,No,0,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,,,,,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,11,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,2400,,,,,10811,,,,,,,,,,,,,Vendor,Weight converted from volume,40,,,,,,,Green Lights,,,,,,Lyle's Salvage,,,,,,,,,,,,,,,,,,,,,,,,,40,,2411,22.3,22.59,83.47,83.47,83.47,Yes,,,,,,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies "
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",June,06/01/2019,completed,3920 US Hwy 2,Bemidji,56601,,Department of Transportation,D2 BEMIDJI HQS,,,OFFICE/TRUCK STATION,130,No,0,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,,,,,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,19,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,1925,,,,,10344,,,,,,,,,,,,,Vendor,Weight converted from volume,80,,,,,,,Green Lights,,,,,,Lyle's Salvage,,,,,,,,,,,,,,,,,,,,,,,,,80,,1944,18.79,19.42,80.18,80.18,80.18,Yes,,,,,,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies "
