"","Member","Cycle","Reporting Date/Period","Response Status","Street Address:","City:","Zip Code:","County:","Agency Name","Location Name:","Square footage of space occupied:","Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):","Total Staff:","Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?","Non-Staff Population","Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?","Approximate number of visitors per year:","Contact name:","Phone:","Fax:","Email:","Trash Hauler","Trash Destination","Trash Actual vs Volume","Trash (lbs)","Recycling: Single Stream Hauler","Recycling: Single Stream Destination","Recycling: Single Stream Actual vs Volume","Recycling: Single Stream Actual Weight (in Pounds)","Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)","Organics Hauler","Organics Destination","Organics Actual vs Volume","Organics (lbs)","Total MSW","Aluminum (scrap other than cans) Hauler/Recycler","Aluminum (scrap other than cans) Actual vs Volume","Aluminum (scrap other than cans) Actual Weight (in Pounds)","Anti-freeze Hauler/Recycler","Anti-freeze Actual vs Volume","Anti-freeze Actual Weight (in Pounds)","Auto Oil Hauler/Recycler","Auto Oil Actual vs Volume","Auto Oil Actual Weight (in Pounds)","Batteries: appliance (rechargeable) Hauler/Recycler","Batteries: appliance (rechargeable) Actual vs Volume","Batteries: appliance (rechargeable) Actual Weight (in Pounds)","Batteries: vehicle Hauler/Recycler","Batteries: vehicle Actual vs Volume","Batteries: vehicle Actual Weight (in Pounds)","Construction Material Hauler/Recycler","Construction Material Actual vs Volume","Construction Material Actual Weight (in Pounds)","E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)","Fluorescents Hauler/Recycler","Fluorescents Actual vs Volume","Fluorescents Actual Weight (in Pounds)","Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)","Metal (scrap) Hauler/Recycler","Metal (scrap) Actual vs Volume","Metal (scrap) Actual Weight (in Pounds)","Paint Hauler/Recycler","Paint Actual vs Volume","Paint Actual Weight (in Pounds)","Parts Cleaner Hauler/Recycler","Parts Cleaner Actual vs Volume","Parts Cleaner Actual Weight (in Pounds)","Solvent Hauler/Recycler","Solvent Actual vs Volume","Solvent Actual Weight (in Pounds)","Textiles Hauler/Recycler","Textiles Actual vs Volume","Textiles Actual Weight (in Pounds)","Toner Cartridges Hauler/Recycler","Toner Cartridges Actual vs Volume","Toner Cartridges Actual Weight (in Pounds)","Tires Hauler/Recycler","Tires Actual vs Volume","Tires Actual Weight (in Pounds)","Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)","All Other Actual Weight (in Pounds)","Specialty Waste (lbs)","Please specify materials included in ""All Other"" weight:","Recycling (lbs)","MSW Recycling Rate (%)","Total Recycling Rate (%)","Waste Per Capita (lbs per staff)","Waste Per Capita Including Non-Staff (lbs per staff)","Waste Per Capita (including staff, resident and visitor)","Is your agency location utilizing the state's recycling best practices?","Indicate your agency<U+0092>s timeline for implementing the new program:","Details:","Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?","Indicate your agency's timeline for implementing the Green Meeting Policy:","Details:_1","State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):","Address","Site ID","From Date","To Date","Facility ID","Total Population","Office supply reuse center","Indicate your agency<U+0092>s timeline for implementing the new program:","Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation? ","Staff Population"
"11","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","February","02/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","2/1/2019","2/28/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"12","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","March","03/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","3/1/2019","3/31/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"13","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","April","04/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","4/1/2019","4/30/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"14","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","May","05/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","Bagley City Recycling","","Actual weight","3","Babley City Recycling","","Actual weight","8","","","","","1411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Actual weight","100","","","","","","","","","","","","","","","","","Weight converted from volume","126","","Weight converted from volume","1000","","1226","","11","0.78","46.91","527.4","527.4","527.4","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","5/1/2019","5/31/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"15","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","June","06/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","Bagley City Recycling","","","","Babley City Recycling","","","","","","","","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","6/1/2019","6/30/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"16","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","July","07/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","Bagley City Recycling","","Actual weight","4","Babley City Recycling","","","","","","","","1404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Actual weight","15","","","","","","","","","","","","","","","","","Weight converted from volume","224","","","","","239","","4","0.28","14.79","328.6","328.6","328.6","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","7/1/2019","7/31/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"17","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","August","08/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","Bagley City Recycling","","Actual weight","2","Babley City Recycling","","Actual weight","3","","","","","1405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Weight converted from volume","154","","","","","154","","5","0.36","10.2","311.8","311.8","311.8","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","8/1/2019","8/31/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"18","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","September","09/01/2019","completed","20602 US Hwy 2","Bagley","56621","Clearwater","DOT","Bagley TS","","","","5","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Linstrom","Polk County Incinerator","Weight converted from volume","1400","","","","","Bagley City Recycling","","","","Babley City Recycling","","","","","","","","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","20602 hwy hwy 2, bagley","11907","9/1/2019","9/30/2019","11907","","Is your agency location utilizing the state's recycling best practices?","","No","5"
"19","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","January","01/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","Weight converted from volume","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","","","","3.65","242.17","242.17","242.17","Yes","","","Yes","","","","504 main st, baudette","11825","1/1/2019","1/31/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"20","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","February","02/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","2/1/2019","2/28/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"21","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","March","03/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","3/1/2019","3/31/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"22","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","April","04/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","4/1/2019","4/30/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"23","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","May","05/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","5/1/2019","5/31/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"24","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","June","06/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","6/1/2019","6/30/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"25","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","July","07/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","7/1/2019","7/31/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"26","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","August","08/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","504 main st, baudette","11825","8/1/2019","8/31/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"27","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","September","09/01/2019","completed","504 Main St","Baudette","56623","","DOT","Baudette TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Walleye Capital (City)","MarKit Landfill","Weight converted from volume","1400","","","","","","","","","","","","","","","","","1400","","","","","","","","","","","","","Vendor","Weight converted from volume","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","2.78","240","240","240","Yes","","","Yes","","","","504 main st, baudette","11825","9/1/2019","9/30/2019","11825","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"28","R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619","January","01/01/2019","completed","3920 US Hwy 2","Bemidji","56601","","DOT","D2 BEMIDJI HQS","","","OFFICE/TRUCK STATION","130","No","0","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","WASTE MGMT","BEMIDJI WASTE MGMT","Weight converted from volume","8400","","","","","WASTE MGMT","BEMIDJI WASTE MGMT","Actual weight","14","WASTE MGMT","BEMIDJI WASTE MGMT","Actual weight","2220","","","","","10634","","","","","","","","","","","","","Vendor","Weight converted from volume","353","","","","","","","Green Lights","Actual weight","1241","","","","Lyle's Salvage","Actual weight","14520","","","","","","","","","","","","","","","","","","","","","","","16114","","2234","21.01","68.6","205.75","205.75","205.75","Yes","","","","","","Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies","3920 hwy hwy 2, bemidji","11809","1/1/2019","1/31/2019","11809","130","Is your agency location utilizing the state's recycling best practices?","","Yes","130"
