Member,Street Address:,City:,Address.x,Address.y,Site Name,Site ID,distance,Agency,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency<U+0092>s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:_1,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
D7: Sleepy Eye Truck Station -,900 Cedar St NE,Sleepy Eye,"900 cedar st ne, sleepy eye","900 cedar st ne, sleepy eye","SITE, D7W, TRUCK STATION, SLEEPY EYE",12043,0,DOT,56085,Brown,Department of Transportation,Sleepy Eye,3696,3696,Maint shop,5,No,NA,No,NA,Mark Larson,507-794-7189,NA,NA,Braun & Borth,NA,Weight converted from volume,3150,NA,NA,Weight converted from volume,NA,NA,NA,NA,NA,Braun & Borth,NA,Weight converted from volume,810,NA,NA,NA,NA,3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,20.45,20.45,792,792,792,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"D7: Wells Truck Station - 585 7TH AVE SE, WELLS, MN",585 7th Ave SE,Wells,"585 7th ave se, wells","585 7th ave se, wells","SITE, D7E, TRUCK STATION, WELLS",12025,0,DOT,56097,Faribault,Department of Transportation,Wells,9668,9668,Maint Shop,5,No,NA,No,NA,Bryan Lillie,507-553-3721,NA,NA,Waste Management,NA,Weight converted from volume,8400,NA,NA,NA,NA,NA,NA,NA,NA,Waste Management,NA,Weight converted from volume,3456,NA,NA,NA,NA,11856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3456,29.15,29.15,2371.2,2371.2,2371.2,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7E: Gaylord Truck Station - 330 Railroad Avenue Gaylord, MN 55334",330 Railroad Ave,Gaylord,"330 railrd ave, gaylord","330 railrd ave, gaylord","SITE, D7E, TRUCK STATION, GAYLORD",12017,0,DOT,55334,Sibley,Department of Transportation,Gaylord,8366,8366,Maint Shop,4,No,NA,No,NA,Cole Albrecht,507-237-4130,NA,NA,Gaylord Sanitation,NA,Weight converted from volume,2100,Gaylord Sanitation,NA,Weight converted from volume,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789,27.31,27.31,722.25,722.25,722.25,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7E: Le Sueur Truck Station - 201 Minnesota Avenue Le Sueur, MN 56058",201 Minnesota Ave,Le Sueur,"201 minnesota ave, le sueur","201 minnesota ave, le sueur","SITE, D7E, TRUCK STATION, LE SUEUR",12018,0,DOT,56058,Le Sueur,Department of Transportation,Le Sueur,5856,5856,Maint Shop,5,No,NA,No,NA,Cole Albrecht,507-665-3782,NA,NA,LJP,NA,Weight converted from volume,8400,LJP,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,8.74,8.74,1840.8,1840.8,1840.8,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7E: Mankato Headquarters - 2151 Bassett Drive Mankato, MN 56001",2151 Bassett Dr,Mankato,"2151 bassett dr, mankato","2151 bassett dr, mankato","SITE, D7E, HEADQUARTERS, MANKATO",12006,0,DOT,56001,Blue Earth,Department of Transportation,mankato,175163,175163,Office/Maintenance,200,No,NA,Yes,12600,Tony Desantiago,507-304-6100,NA,NA,Waste Management,NA,Weight converted from volume,33600,Waste Management,NA,Weight converted from volume,13344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Napa,Weight converted from volume,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mankato Iron,Actual weight,8.44,Blue Earth Cty,NA,NA,Blue Earth Cty,NA,NA,Blue Earth Cty,NA,NA,NA,NA,NA,Innovative,NA,NA,First Tire,NA,NA,NA,NA,NA,NA,61.44,NA,13344,28.43,28.52,235.03,235.03,3.67,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7E: Mapleton Truck Station - 403 8th Avenue SE Mapleton, MN 56065",403 8th Ave SE,Mapleton,"403 8th ave se, mapleton","403 8th ave se, mapleton","SITE, D7E, TRUCK STATION, MAPLETON",12019,0,DOT,56065,Blue Earth,Department of Transportation,Mapleton,5717,5717,Maint Shop,4,No,NA,No,NA,Bryan Lillie,507-524-3132,NA,NA,Waste Management,NA,Weight converted from volume,8400,Waste Management,NA,Weight converted from volume,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,4.57,4.57,2200.5,2200.5,2200.5,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7E: St. Peter Truck Station - 415 Ritt Street St. Peter, MN 56082",415 Ritt St,St Peter,"415 ritt st, st peter","415 ritt st, st peter","SITE, D7E, TRUCK STATION, ST PETER",12022,0,DOT,56082,Nicollet,Department of Transportation,St Peter,5856,5856,Maint Shop,8,No,NA,No,NA,Cole Albrecht,507-931-5148,NA,NA,Waste Management,NA,Weight converted from volume,8400,Waste Management,NA,Weight converted from volume,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,4.57,4.57,1100.25,1100.25,1100.25,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7E: Waseca Truck Station - 1500 State Street South Waseca, MN 56093",1500 S State St,Waseca,"1500 s state st, waseca","1500 state st s, waseca","SITE, D7E, TRUCK STATION, WASECA",12023,0,DOT,56093,Waseca,Department of Transportation,Waseca,8845,8845,Maint Shop,4,No,NA,No,NA,Bryan Lillie,507-883-1143,NA,NA,Waste Management,NA,Weight converted from volume,4200,Waste Management,NA,Weight converted from volume,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,8.74,8.74,1150.5,1150.5,1150.5,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7W: Fairmont Truck Station - 1300 Marcus Street Fairmont, MN 56031",1300 Marcus St,Fairmont,"1300 marchwy st, fairmont","1300 marchwy st, fairmont","SITE, D7W, TRUCK STATION, FAIRMONT",12039,0,DOT,56031,Martin,Department of Transportation,Fairmont,6384,6384,Maint Shop,5,No,NA,No,NA,Mark Larson,507-235-9277,NA,NA,Waste Management,NA,Weight converted from volume,6300,Waste Management,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,11.32,11.32,1420.8,1420.8,1420.8,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7W: Jackson Truck Station - 149 County Road 43 East Jackson, MN 56143",149 county Rd 43 east,Jackson,"149 co rd 43 e, jackson","149 co rd 34 e, jackson","SITE, D7W, TRUCK STATION, JACKSON",12040,0,DOT,56143,Jackson,Department of Transportation,Jackson,8000,8000,Maint Shop,5,No,NA,No,NA,Andrew Bedbury,507-847-4325,NA,NA,Waste Management,NA,Weight converted from volume,8400,Waste Management,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,8.74,8.74,1840.8,1840.8,1840.8,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
